,Image,Acc,F1,Jaccard,Recall,Precision
26,05_test_2,0.9548377990722656,0.585831729928284,0.41425885612507424,0.8879109225874867,0.4371182458888019
27,05_test_3,0.9520263671875,0.5303607438942416,0.36087818264979415,0.7982239208633094,0.3971032323006375
28,05_test_4,0.9532241821289062,0.5866927329108804,0.4151204388266158,0.8523161296640878,0.447294032995837
29,05_test_5,0.9533042907714844,0.4944033703688406,0.3283770437836058,0.8725761772853186,0.3449170124481328
30,06_test_0,0.95098876953125,0.5690615147246261,0.397684121700811,0.8800705467372134,0.4204708798017348
31,06_test_1,0.9524612426757812,0.5705128205128205,0.3991031390134529,0.858609958506224,0.42717795210569776
32,06_test_2,0.9522514343261719,0.5742372189530256,0.4027578967458727,0.8757132482622678,0.4271761133603239
33,06_test_3,0.9501686096191406,0.5375438099621198,0.36756233357540546,0.796391482219658,0.40568558298599977
34,06_test_4,0.9498558044433594,0.5567656876959909,0.38577636559039297,0.8492079818967291,0.4141459744168548
35,06_test_5,0.9410896301269531,0.4901112688612276,0.32460091843428823,0.6215559835859643,0.40455685162978305
36,07_test_0,0.9503631591796875,0.5607318884612787,0.38959515879345125,0.8973527822798487,0.4077674669809005
37,07_test_1,0.9492759704589844,0.5558339178942445,0.38488226858491004,0.8991678374581217,0.40224327982982017
38,07_test_2,0.9489822387695312,0.5539323594156493,0.38306116800442847,0.8972447325769854,0.4006368504848748
39,07_test_3,0.9464225769042969,0.5161068044788975,0.3478058973763641,0.827167310877968,0.37506259389083624
40,07_test_4,0.9472541809082031,0.5439192532242636,0.3735501993475897,0.8601982263954095,0.39769438549102837
41,07_test_5,0.95172119140625,0.5498968632192901,0.37921224309609064,0.8997905027932961,0.39593362695892653
42,08_test_0,0.9530410766601562,0.5519400160151415,0.3811582545747034,0.8577893426858242,0.40686879527770325
43,08_test_1,0.9540023803710938,0.5500746268656717,0.37938133717638584,0.8358090486449711,0.4099327067460097
44,08_test_2,0.9532508850097656,0.5541853104878315,0.38330314009661837,0.8617490666364973,0.4084182305630027
45,08_test_3,0.9494895935058594,0.4982759273994923,0.33180258377069033,0.778198603385016,0.3664585887860885
46,08_test_4,0.9512748718261719,0.5412820973244747,0.3710670146240583,0.8264064042109881,0.40243511694969564
47,08_test_5,0.9560585021972656,0.5285088616921124,0.3591655076495132,0.8564605996285487,0.38217012963949565
